,PC1,PC2
mmse_score,0.39829678732409673,-0.1602291223011744
DSPANBAC,0.3877484026350396,0.37960533399303986
MH4CARD,-0.3717500168243446,0.36013567634746363
DSPANFOR,0.3363109749322939,0.3996735003775189
CATANIMSC,0.2986439243102873,-0.16190634452240896
AGE,-0.279321890136181,0.1436497735839142
MH2NEURL,-0.27005663295156607,0.3273678335424091
TRABSCOR,-0.25052228709425606,-0.2786219578810997
PTEDUCAT,0.24587179042017593,0.13997923563921585
MH16SMOK,-0.18917777740687566,0.0745293729153596
TRAASCOR,-0.14174907751917082,-0.32504494359745234
BNTTOTAL,0.09306139550021182,-0.30922329226302175
PTGENDER,0.07548498209604493,-0.03035085494569273
VSWEIGHT,0.07167687899369753,-0.23773902074169048
BMI,-0.03124912763967322,-0.15702565596661033
MH14ALCH,0.0005717010825157381,-0.024916743464032595
