,AGE,PTEDUCAT,CATANIMSC,TRAASCOR,TRABSCOR,DSPANFOR,DSPANBAC,BNTTOTAL,BMI,VSWEIGHT,mmse_score
AGE,1.0,-0.008056766194201046,-0.2651106800376142,0.32974280993238775,0.3503165279907579,-0.17285664036592055,-0.2031561603900417,-0.21562269609014884,-0.05152035718094772,-0.0758532829250131,-0.22036958607325288
PTEDUCAT,-0.008056766194201046,1.0,0.2450211666339097,-0.18755029236353646,-0.25836096890578153,0.19803207996920338,0.26976606523360475,0.1454566201945382,-0.15915977081090085,-0.013414230508854888,0.235632112383258
CATANIMSC,-0.2651106800376142,0.2450211666339097,1.0,-0.4504087693665671,-0.5170453444206238,0.2833247701557802,0.3707654012697658,0.3869756696477483,-0.062039182905968625,-0.002634828944053602,0.6312433064605858
TRAASCOR,0.32974280993238775,-0.18755029236353646,-0.4504087693665671,1.0,0.7110058272250309,-0.3165017390919441,-0.4020611252197634,-0.3090389546405138,0.044621260262610096,0.0032122769411912287,-0.5507123721282308
TRABSCOR,0.3503165279907579,-0.25836096890578153,-0.5170453444206238,0.7110058272250309,1.0,-0.3666448368158959,-0.4642406515896033,-0.32188925524899975,0.0784408291818906,4.0805160779786606e-05,-0.6182844645735993
DSPANFOR,-0.17285664036592055,0.19803207996920338,0.2833247701557802,-0.3165017390919441,-0.3666448368158959,1.0,0.5933676550357636,-0.025408292111241855,-0.10467037004292734,0.0006836602099064782,0.2854828009129579
DSPANBAC,-0.2031561603900417,0.26976606523360475,0.3707654012697658,-0.4020611252197634,-0.4642406515896033,0.5933676550357636,1.0,0.020747084191206758,-0.13934072776010262,-0.04319028804006344,0.4863045070258686
BNTTOTAL,-0.21562269609014884,0.1454566201945382,0.3869756696477483,-0.3090389546405138,-0.32188925524899975,-0.025408292111241855,0.020747084191206758,1.0,-0.032232829977241854,0.17621033216295565,0.47577479875053735
BMI,-0.05152035718094772,-0.15915977081090085,-0.062039182905968625,0.044621260262610096,0.0784408291818906,-0.10467037004292734,-0.13934072776010262,-0.032232829977241854,1.0,0.6361340834760517,0.010613387528142027
VSWEIGHT,-0.0758532829250131,-0.013414230508854888,-0.002634828944053602,0.0032122769411912287,4.0805160779786606e-05,0.0006836602099064782,-0.04319028804006344,0.17621033216295565,0.6361340834760517,1.0,-0.006456186907457896
mmse_score,-0.22036958607325288,0.235632112383258,0.6312433064605858,-0.5507123721282308,-0.6182844645735993,0.2854828009129579,0.4863045070258686,0.47577479875053735,0.010613387528142027,-0.006456186907457896,1.0
