feature,label,type,n_folds,n_real_cn_mean,n_real_ad_mean,effect_mean,effect_std,effect_min,effect_max,p_mean,p_max,n_folds_sig_p_raw,decay_mean,decay_std,decay_min,decay_max,n_folds_FORTUIT,n_folds_ambigu,n_folds_intrinseque,decay_class_mode,decay_class_stable
AGE,Age (years),continuous,5,3416.0,947.0,0.32877575626599215,0.012967373581965603,0.3167970277911185,0.3472135564181701,7.266991977533774e-51,1.8940032866832675e-50,5,0.09962116345869934,0.0076714176211393125,0.09181504676287022,0.10997795289232143,0,5,0,ambigu,True
PTGENDER,"Gender (1=M, 2=F)",binary,5,3417.6,948.4,0.11676241851761773,0.007470062056204014,0.1035855412171669,0.12134270068305682,1.5370911560564203e-12,7.674954274814649e-12,5,-0.0010848413446750804,0.00757365366924491,-0.010679219977483653,0.00674508586056706,0,0,5,intrinsèque,True
PTEDUCAT,Education (years),continuous,5,3400.2,944.8,-0.16976323553726838,0.010019911420761233,-0.1836803411738932,-0.1579314518450068,7.316483342730569e-15,3.316174975387066e-14,5,0.025063008633363255,0.010286503275421442,0.012788229785440641,0.03698270711880078,0,0,5,intrinsèque,True
PTMARRY,Marital status,categorical,5,3397.0,943.8,-0.15006394063790954,0.0057798092182356105,-0.15542063927076843,-0.14116270944701426,1.1940391761513655e-16,5.727817002488375e-16,5,0.0064828819096284015,0.004594735303967837,-0.0005345224292228612,0.010263366168626664,0,0,5,intrinsèque,True
CATANIMSC,Animal Fluency (raw),continuous,5,3066.4,811.2,-0.7053434608250994,0.009154608863219858,-0.7145831772659574,-0.6924984126881288,9.535189664585943e-203,4.767452411627703e-202,5,-0.004395454278061229,0.006150529566477348,-0.010213189158262526,0.0036244974932100327,0,0,5,intrinsèque,True
TRAASCOR,Trail Making A (sec),continuous,5,3014.6,791.0,0.6379788601432195,0.009020526813063753,0.6282815445731215,0.6494147383624711,6.310220738609451e-164,3.131520560305845e-163,5,-0.027608955871376396,0.004501183982416779,-0.031943444401833276,-0.020527420159275223,0,0,5,intrinsèque,True
TRABSCOR,Trail Making B (sec),continuous,5,2985.6,776.2,0.7315983107723258,0.009992014223677764,0.7221831630788673,0.7474761319595424,1.0558132848772294e-211,5.1171728066664336e-211,5,-0.047793193917618736,0.007414982032466945,-0.051771765618143895,-0.034630457826014927,0,4,1,ambigu,False
DSPANFOR,Digit Span Forward,continuous,5,681.4,344.6,-0.3089080681404003,0.013379569202606875,-0.32287342319960244,-0.28908322906406125,7.783423805440464e-15,3.4587829410191547e-14,5,0.04790353310655194,0.016858293804650076,0.03393152516752207,0.07573381612243493,0,3,2,ambigu,False
DSPANBAC,Digit Span Backward,continuous,5,681.4,341.0,-0.447185938099569,0.00894364948656856,-0.4571143312510304,-0.4367091932609424,1.025135900877708e-31,2.820504916059374e-31,5,-0.00847547439542683,0.02116572830920711,-0.02416412727378775,0.0208366942616921,0,0,5,intrinsèque,True
BNTTOTAL,Boston Naming,continuous,5,680.6,354.4,-0.3817293824694742,0.01789808077517965,-0.41190550354935485,-0.36575549000327756,1.5715842700518228e-22,6.972604354106768e-22,5,-0.07043292358724501,0.008460712678741926,-0.08471844149769664,-0.06285455289097563,0,5,0,ambigu,True
BMI,BMI,continuous,5,3008.8,603.2,-0.10294476122537591,0.018288583243630363,-0.12666942239042012,-0.08848225460396919,0.000297711139017539,0.0006372207254510954,5,-0.017871210109515825,0.007539227217969268,-0.026832418283781898,-0.008940841638515024,0,0,5,intrinsèque,True
VSWEIGHT,Weight (kg),continuous,5,2586.6,754.0,-0.10927903599796607,0.009802896166974698,-0.1199933961219295,-0.09495795822562925,1.73863485676845e-05,7.066176600615036e-05,5,0.03874476996875659,0.014623084057972345,0.02275846801992036,0.05740430435406188,0,2,3,intrinsèque,False
MH14ALCH,Alcohol use,binary,5,3202.8,886.8,0.007814743572877533,0.007072726923844661,0.002047808723142135,0.01592834521411668,0.6469270561563518,0.8958800176628625,0,-0.00709680653555516,0.0056040543480134816,-0.012866407444488167,0.0008627110022138111,0,0,5,intrinsèque,True
MH16SMOK,Smoking,binary,5,3196.2,886.0,0.15608791860894378,0.012367537480032244,0.13714154682877314,0.1681818882946285,4.1385520159003808e-19,2.0691647465147574e-18,5,0.13379052385852885,0.009069097567810198,0.11995028542057709,0.1427529052837678,4,1,0,FORTUIT (Simpson),False
MH4CARD,Cardiovascular hist.,binary,5,3209.2,887.8,0.2974716630708765,0.005985247804458697,0.2935818462688359,0.3077254605715989,3.83522553226101e-79,7.782298287685951e-79,5,0.2775459034832418,0.007600766373543481,0.2659913739800321,0.28528612790320157,5,0,0,FORTUIT (Simpson),True
MH2NEURL,Neurological hist.,binary,5,1151.0,494.0,0.24702052141187725,0.012710420938391516,0.23230733912903323,0.2639760281196999,1.2407144954425956e-21,5.810604927225689e-21,5,0.2221805784548629,0.012431065049447042,0.20853895094072816,0.23900979349018872,5,0,0,FORTUIT (Simpson),True
mmse_score,MMSE score,continuous,5,314.0,344.2,-0.9517124251143523,0.004716898904568852,-0.9566543502509761,-0.947096053611318,6.038488803089877e-97,3.0107966375233564e-96,5,0.0,0.0,0.0,0.0,0,0,5,intrinsèque,True
