feature,test_key,p_raw,p_holm,sig_raw,sig_corr
AGE,p_global,1.766815134760058e-56,9.364120214228307e-55,*,*
AGE,cohort:ADNI,1.6078611046678837e-07,4.98436942447044e-06,*,*
AGE,cohort:NACC,9.338888087879557e-10,2.988444188121458e-08,*,*
AGE,cohort:OASIS,2.1369243692726688e-23,1.0043544535581544e-21,*,*
PTGENDER,p_global,1.076509968527779e-15,4.413690870963894e-14,*,*
PTGENDER,cohort:ADNI,3.9412681688372534e-07,1.182380450651176e-05,*,*
PTGENDER,cohort:NACC,1.040844728129053e-12,3.851125494077496e-11,*,*
PTGENDER,cohort:OASIS,0.031750301826888726,0.571505432883997,*, 
PTEDUCAT,p_global,3.316174975387066e-14,1.2933082404009558e-12,*,*
PTEDUCAT,cohort:ADNI,9.126432360151978e-05,0.0021903437664364746,*,*
PTEDUCAT,cohort:NACC,1.0403203013726374e-05,0.0002808864813706121,*,*
PTEDUCAT,cohort:OASIS,0.007253495470777256,0.14506990941554512,*, 
PTMARRY,p_global,8.167255134885369e-19,3.593592259349562e-17,*,*
PTMARRY,cohort:ADNI,3.751027972761696e-05,0.0009377569931904241,*,*
PTMARRY,cohort:NACC,7.047603078941549e-12,2.5371371084189577e-10,*,*
PTMARRY,cohort:OASIS,0.3892964416583018,1.0, , 
CATANIMSC,p_global,3.87549183911555e-214,2.3640500218604855e-212,*,*
CATANIMSC,cohort:ADNI,1.021382690760216e-46,5.311189991953123e-45,*,*
CATANIMSC,cohort:NACC,5.339885931843508e-123,3.0971338404692347e-121,*,*
CATANIMSC,cohort:OASIS,4.602258286230693e-16,1.932948480216891e-14,*,*
TRAASCOR,p_global,5.443801235187761e-172,3.266280741112657e-170,*,*
TRAASCOR,cohort:ADNI,1.745185526761882e-36,8.725927633809411e-35,*,*
TRAASCOR,cohort:NACC,6.783994741263817e-111,3.866877002520376e-109,*,*
TRAASCOR,cohort:OASIS,1.2536076233032036e-13,4.7637089685521735e-12,*,*
TRABSCOR,p_global,2.4789160366035925e-214,1.5369279426942275e-212,*,*
TRABSCOR,cohort:ADNI,1.893348533452938e-42,9.656077520609983e-41,*,*
TRABSCOR,cohort:NACC,4.690655042315091e-149,2.767486474965904e-147,*,*
TRABSCOR,cohort:OASIS,2.2157096286136012e-16,9.527551403038484e-15,*,*
DSPANFOR,p_global,4.2144878686514975e-15,1.685795147460599e-13,*,*
DSPANFOR,cohort:ADNI,0.00035749659521185925,0.008222421689872762,*,*
DSPANFOR,cohort:OASIS,0.00038379054857172245,0.008443392068577894,*,*
DSPANBAC,p_global,3.7839990311082166e-32,1.854159525243026e-30,*,*
DSPANBAC,cohort:ADNI,5.48275462106137e-11,1.8641365711608656e-09,*,*
DSPANBAC,cohort:OASIS,8.368329851903843e-10,2.7615488511282682e-08,*,*
BNTTOTAL,p_global,6.972604354106768e-22,3.1376719593480457e-20,*,*
BNTTOTAL,cohort:ADNI,3.034625477874508e-11,1.0621189172560777e-09,*,*
BNTTOTAL,cohort:OASIS,2.3882155459330057e-05,0.0006209360419425815,*,*
BMI,p_global,0.00044116525841204386,0.009264470426652922,*,*
BMI,cohort:ADNI,0.4832056215145696,1.0, , 
BMI,cohort:NACC,0.03545021751268696,0.6026536977156783,*, 
BMI,cohort:OASIS,7.834998591378536e-06,0.00021937996055859898,*,*
VSWEIGHT,p_global,4.880707485705892e-06,0.00014154051708547088,*,*
VSWEIGHT,cohort:ADNI,0.25458600207905546,1.0, , 
VSWEIGHT,cohort:NACC,0.2397113610882825,1.0, , 
VSWEIGHT,cohort:OASIS,0.023422311698349317,0.445023922268637,*, 
MH14ALCH,p_global,0.8761731193467632,1.0, , 
MH14ALCH,cohort:ADNI,0.2900423691801498,1.0, , 
MH14ALCH,cohort:NACC,0.771108637390307,1.0, , 
MH14ALCH,cohort:OASIS,0.709282381541408,1.0, , 
MH16SMOK,p_global,5.328408484478792e-23,2.4510679028602444e-21,*,*
MH16SMOK,cohort:ADNI,0.8420519597176731,1.0, , 
MH16SMOK,cohort:NACC,0.6328573332962455,1.0, , 
MH16SMOK,cohort:OASIS,0.25280996187205673,1.0, , 
MH4CARD,p_global,7.782298287685951e-79,4.202441075350414e-77,*,*
MH4CARD,cohort:ADNI,0.7954656349273317,1.0, , 
MH4CARD,cohort:NACC,0.7656045372756586,1.0, , 
MH4CARD,cohort:OASIS,0.10583574861738891,1.0, , 
MH2NEURL,p_global,2.2053889206790409e-26,1.0585866819259397e-24,*,*
MH2NEURL,cohort:ADNI,0.21814499573146487,1.0, , 
MH2NEURL,cohort:OASIS,0.2034991343753014,1.0, , 
mmse_score,p_global,3.0107966375233564e-96,1.6860461170130796e-94,*,*
mmse_score,cohort:ADNI,3.0107966375233564e-96,1.6860461170130796e-94,*,*
